Cocoa,Coffee,Cotton,Orange Juice,Lumber,Sugar
831.0,93.3499984741211,58.66999816894531,,,8.0
832.0,89.1500015258789,57.59999847412109,,,8.149999618530273
817.0,92.0500030517578,58.25,,,8.15999984741211
869.0,92.5500030517578,58.18999862670898,,,8.180000305175781
849.0,91.8499984741211,58.38999938964844,,,8.569999694824219
850.0,91.1500015258789,56.650001525878906,,,8.489999771118164
846.0,90.8000030517578,56.97999954223633,,,8.720000267028809
849.0,89.8499984741211,57.0,,,8.819999694824219
849.0,88.1500015258789,57.90999984741211,,,8.520000457763672
849.0,87.25,57.0,,,8.1899995803833
837.0,87.19999694824219,56.11000061035156,,,8.550000190734863
834.0,87.25,56.63999938964844,,,8.619999885559082
855.0,84.44999694824219,55.56999969482422,,,8.649999618530273
903.0,86.1500015258789,55.0099983215332,,,8.510000228881836
